#Functional group	min	max	mean	median
Alkyl_Carbon	0	28	3.380165	3.000000
Allenic_Carbon	0	0	0.000000	0.000000
Vinylic_Carbon	0	14	0.289256	0.000000
Acetylenic_Carbon	0	0	0.000000	0.000000
Arene	0	16	1.793388	0.000000
Carbonyl_with_Carbon	0	4	0.512397	0.000000
Carbonyl_with_Nitrogen	0	2	0.057851	0.000000
Carbonyl_with_Oxygen	0	3	0.293388	0.000000
Aldehyde	0	1	0.045455	0.000000
Acyl_Halide	0	0	0.000000	0.000000
Anhydride	0	0	0.000000	0.000000
Amide	0	2	0.045455	0.000000
Amidinium	0	0	0.000000	0.000000
Carboxylic_acid	0	3	0.227273	0.000000
Cyanamide	0	0	0.000000	0.000000
Ketone	0	4	0.206612	0.000000
Ether	0	16	0.735537	0.000000
Carbamate	0	1	0.004132	0.000000
Carbamic_ester	0	0	0.000000	0.000000
Hydroxyl	0	14	1.057851	1.000000
Hydroxyl_in_Alcohol	0	28	2.107438	2.000000
Enol	0	6	0.202479	0.000000
Phenol	0	10	0.380165	0.000000
Enol_or_Phenol	0	12	0.404959	0.000000
Peroxide_groups	0	2	0.008264	0.000000
Any_carbon_attached_to_any_halogen	0	12	0.925620	0.000000
Halogen	0	6	0.462810	0.000000
Three_halides_groups	0	6	0.462810	0.000000
